run,q_con,q_mod,n,LKL_greedy,LKL_ILP
2,0.7,0.1,6,-3.222,-3.222
2,0.7,0.2,4,-2.23,-2.23
2,0.7,0.2,5,-3.657,-3.657
2,0.7,0.2,6,-5.846,-5.846
2,0.7,0.3,4,-2.631,-2.631
2,0.7,0.3,5,-4.191,-4.191
2,0.7,0.3,6,-5.261,-5.261
2,0.7,0.4,4,-2.582,-2.14
2,0.7,0.4,5,-4.471,-4.03
2,0.7,0.4,6,-6.766,-6.324
2,0.7,0.5,4,-2.947,-2.793
2,0.7,0.5,5,-3.997,-3.843
2,0.7,0.5,6,-5.047,-4.892
2,0.7,0.6,4,-1.735,-1.735
2,0.7,0.6,5,-3.855,-3.113
2,0.7,0.6,6,-5.128,-4.386
2,0.7,0.7,4,-2.274,-2.274
2,0.7,0.7,5,-4.682,-3.344
2,0.7,0.7,6,-7.09,-4.771
2,0.7,0.8,4,-1.16,-1.16
2,0.7,0.8,5,-3.349,-3.349
2,0.7,0.8,6,-5.315,-5.315
2,0.7,0.9,4,-0.924,-0.924
2,0.7,0.9,5,-1.386,-1.386
2,0.7,0.9,6,-1.848,-1.848
2,0.8,0.1,4,-2.149,-2.149
2,0.8,0.1,5,-4.074,-4.074
2,0.8,0.1,6,-4.719,-4.719
2,0.8,0.2,4,-2.502,-2.502
2,0.8,0.2,5,-3.171,-3.171
2,0.8,0.2,6,-4.064,-4.064
2,0.8,0.3,4,-4.289,-3.211
2,0.8,0.3,5,-5.225,-4.147
2,0.8,0.3,6,-6.162,-5.084
2,0.8,0.4,4,-2.279,-2.279
2,0.8,0.4,5,-4.91,-3.929
2,0.8,0.4,6,-7.03,-5.985
2,0.8,0.5,4,-1.833,-1.833
2,0.8,0.5,5,-3.442,-3.442
2,0.8,0.5,6,-5.051,-5.051
2,0.8,0.6,4,-1.873,-1.873
2,0.8,0.6,5,-2.607,-2.607
2,0.8,0.6,6,-4.768,-4.768
2,0.8,0.7,4,-2.007,-2.007
2,0.8,0.7,5,-4.147,-3.791
2,0.8,0.7,6,-5.084,-4.727
2,0.8,0.8,4,-0.893,-0.893
2,0.8,0.8,5,-2.948,-2.948
2,0.8,0.8,6,-3.618,-3.618
2,0.8,0.9,4,-0.657,-0.657
2,0.8,0.9,5,-1.091,-1.091
2,0.8,0.9,6,-3.617,-3.617
2,0.9,0.1,4,-0.527,-0.527
2,0.9,0.1,5,-3.145,-3.145
2,0.9,0.1,6,-3.567,-3.567
2,0.9,0.2,4,-0.88,-0.88
2,0.9,0.2,5,-3.041,-3.041
2,0.9,0.2,6,-5.202,-5.202
2,0.9,0.3,4,-2.619,-2.619
2,0.9,0.3,5,-3.081,-3.081
2,0.9,0.3,6,-4.256,-4.256
2,0.9,0.4,4,-2.149,-2.149
2,0.9,0.4,5,-3.681,-3.681
2,0.9,0.4,6,-5.214,-5.214
2,0.9,0.5,4,-2.29,-2.29
2,0.9,0.5,5,-3.089,-3.089
2,0.9,0.5,6,-3.887,-3.887
2,0.9,0.6,4,-2.149,-2.149
2,0.9,0.6,5,-4.087,-4.087
2,0.9,0.6,6,-6.13,-6.13
2,0.9,0.7,4,-0.924,-0.924
2,0.9,0.7,5,-1.743,-1.743
2,0.9,0.7,6,-3.052,-3.052
2,0.9,0.8,4,-2.043,-2.043
2,0.9,0.8,5,-2.595,-2.595
2,0.9,0.8,6,-4.756,-4.533
2,0.9,0.9,4,-0.421,-0.421
2,0.9,0.9,5,-0.632,-0.632
